PUBLICATION,GAME
Destructoid,Bayonetta 2
Giant Bomb,Shadow of Mordor
GameTrailers,Hearthstone
Edge,Bayonetta 2
Famitsu,Yo-kai Watch 2
GameSpot,Shadow of Mordor
IGN,Dragon Age: Inquisition
Golden Joystick Awards,Dark Souls II
Game Developers Choice Awards,Shadow of Mordor
Game Awards,Dragon Age: Inquisition
D.I.C.E. Awards,Dragon Age: Inquisition
BAFTA,Destiny
SXSW Gaming Awards,Dragon Age: Inquisition
GamesRadar+,Destiny
Game Informer,Dragon Age: Inquisition
HardcoreGamer,Dragon Age: Inquisition
NAVGTR,Dragon Age: Inquisition
New York Game Awards,Wolfenstein: The New Order
