RANK,GAME,NOTES
Unranked,BioShock,
Unranked,God of War II,
Unranked,Super Mario Galaxy,
Unranked,Dead Rising,
Unranked,Half-Life 2,*Listed as The Orange Box
Unranked,Half-Life 2: Episode One,*Listed as The Orange Box
Unranked,Half-Life 2: Episode Two,*Listed as The Orange Box
Unranked,Team Fortress 2,*Listed as The Orange Box
Unranked,Portal,*Listed as The Orange Box
Unranked,Call of Duty 4: Modern Warfare,
Unranked,Uncharted: Drake's Fortune,
Unranked,Crysis,
Unranked,Halo 3,
Unranked,Mass Effect,
Unranked,Rock Band,
