RANK,GAME,NOTES
100,Barbarian: The Ultimate Warrior,
99,NBA 2K13,
98,Firewatch,
97,Superbrothers: Sword & Sorcery EP,
96,Counter-Strike,
95,Overwatch,
94,Metroid Prime,
93,The Witness,
92,Horizon: Zero Dawn,
91,Grim Fandango,
90,Pitfall!,
89,Cuphead,
88,Super Mario Kart,
87,Ikaruga,
86,Fortnite,
85,Final Fantasy VII,
84,Marvel's Spider-Man,
83,SimCity 2000,
82,Shenmue,
81,Untitled Goose Game,
80,Tomb Raider,
79,Skate,
78,Minecraft,
77,Left 4 Dead 2,
76,Geometry Wars Retro Evolved 2,
75,Prince of Persia: Sands of Time,
74,Sid Meier's Civilization IV,
73,Gears of War 2,
72,Sonic the Hedgehog,
71,Okami,
70,Advance Wars,
69,Team Fortress 2,
68,Super Meat Boy,
67,Diablo II,
66,Mega Man 2,
65,Braid,
64,Call of Duty 4: Modern Warfare,
63,Journey,
62,Metal Gear Solid 3: Snake Eater,
61,Dark Souls,
60,Batman: Arkham City,
59,Super Mario Galaxy 2,
58,Mass Effect 2,
57,World of Warcraft,
56,Uncharted 2: Among Thieves,
55,Shadow of the Colossus,
54,Super Metroid,
53,Shadow of the Beast,
52,Borderlands 2,
51,Just Cause 2,
50,The Witcher 3: Wild Hunt,
49,Rock Band 3,
48,Black,
47,Castle of Illusion Starring Mickey Mouse,
46,Panzer Dragoon,
45,Destiny,
44,The Abbey of Crime,
43,Metal Slug,
42,Psychonauts,
41,Lemmings,
40,Arkanoid: Revenge of Doh,
39,The Elder Scrolls V: Skyrim,
38,Grand Theft Auto: Vice City,
37,Contra III: Alien Wars,
36,Gradius V,
35,Chrono Trigger,
34,Max Payne 3,
33,Quake,
32,Mortal Kombat,
31,Out Run,
30,Deus Ex,
29,Popeye,
28,Wipeout HD,
27,Bayonetta,
26,BioShock Infinite,
25,Castlevania: Symphony of the Night,
24,Halo: Combat Evolved,
23,Final Fight,
22,Dishonored,
21,X-COM: UFO Defense,
20,Fallout 2,
19,Ghosts'n Goblins,
18,Manhunt,
17,Burnout Paradise,
16,Street Fighter II,
15,R-Type,
14,Super Hexagon,
13,Donkey Kong,
12,The Legend of Zelda: Ocarina of Time,
11,Tetris,
10,God Hand,
9,The Secret of Monkey Island,
8,Red Dead Redemption,
7,Resident Evil 4,
6,The Last of Us Part II,
5,Half-Life 2,
4,Silent Hill 2,
3,Super Mario World,
2,Pac-Man,
1,Portal 2,
