RANK,GAME,NOTES
100,Barbarian: The Ultimate Warrior,
99,The Walking Dead,
98,NBA 2K13,
97,Phantis,
96,Superbrothers: Sword & Sorcery EP,*Listed as Superborhters: Sword & Sorcery
95,Counter-Strike: Source,
94,Ghostbusters (1984),
93,Metroid Prime,
92,Ridiculous Fishing,
91,Dwarf Fortress,
90,Rez,
89,Grim Fandango,
88,Pitfall!,
87,Knight Lore,
86,Super Mario Kart,
85,Ikaruga,
84,Final Fantasy VII,
83,WarioWare Touched,
82,SimCity 2000,
81,Shenmue,
80,Star Wars Rogue Squadron II: Rogue Leader,
79,Tomb Raider,
78,Skate,
77,Minecraft,
76,Left 4 Dead 2,
75,Geometry Wars Retro Evolved 2,
74,Prince of Persia: Sands of Time,
73,Sid Meier's Civilization IV,
72,Gears of War 2,
71,Sonic the Hedgehog,
70,Okami,
69,Advance Wars,
68,Team Fortress 2,
67,Super Meat Boy,
66,Diablo II,
65,Mega Man 2,
64,Braid,
63,Call of Duty 4: Modern Warfare,
62,Journey,
61,Metal Gear Solid 3: Snake Eater,
60,Dark Souls,
59,Batman: Arkham City
58,Super Mario Galaxy 2,
57,Mass Effect 2,
56,World of Warcraft,
55,Uncharted 2: Among Thieves,
54,Shadow of the Colossus,
53,Super Metroid,
52,Shadow of the Beast,
51,Borderlands 2,
50,Just Cause 2,
49,Resident Evil 2,
48,Rock Band,
47,Black,
46,Castle of Illusion Starring Mickey Mouse,
45,Panzer Dragoon,
44,Donkey Kong Jr.,
43,La Abdia del Crimen,
42,Metal Slug,
41,Psychonauts,
40,Lemmings,
39,Arkanoid: Revenge of Doh,
38,The Elder Scrolls V: Skyrim,
37,Grand Theft Auto: Vice City,
36,Contra III: Alien Wars,
35,Gradius V,
34,Chrono Trigger,
33,Max Payne 3,
32,Quake,
31,Mortal Kombat,
30,Out Run,
29,Deus Ex,
28,Popeye,
27,Wipeout HD,
26,Bayonetta,
25,BioShock Infinite,
24,Castlevania: Symphony of the Night,
23,Halo: Combat Evolved,
22,Final Fight,
21,Dishonored,
20,XCOM: Enemy Unknown,*Listed as UFO: Enemy Unknown,
19,Fallout 2,
18,Ghosts'n Goblins,
17,Manhunt,
16,Burnout Paradise,
15,Street Fighter II,
14,R-Type,
13,Super Hexagon,
12,Donkey Kong,
11,The Legend of Zelda: Ocarina of Time,
10,Tetris,
9,God Hand,
8,The Secret of Monkey Island,
7,Red Dead Redemption,
6,Resident Evil 4,
5,Half-Life 2,
4,Silent Hill 2,
3,Super Mario World,
2,Pac-Man,
1,Portal 2,



